Lambda,F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0.0,-0.005473140446419528,0.005473140446419528,0.00041180761887471865,14,12,81,28,37,10,73,26,46,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14016484775569757,0.0,0.15023762645740776,0.0,0.12195339673437801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177217947031072,0.0,0.08367155441301899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17646320520871958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07002225276427554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027365989119953214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03919669645506467,0.0,0.0,0.013706484060412711
0.02040816326530612,-0.00545836582061317,0.0055797316818709305,0.0003671955197593371,36,67,62,37,55,28,35,33,3,12,0.0,0.0,0.0,0.06513291704423457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18252703469018286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16417160597998404,0.0,0.0,0.0,0.0,0.01170311998489521,0.0,0.10228778669392197,0.08144312430647477,0.17268148056068888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10993752064815905,0.0,0.0,0.0,0.0,0.0,0.0,0.03281264235843978,0.0,0.0,0.0,0.0,0.0773027677330189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04081632653061224,-0.005191665313623675,0.005426981213052641,0.0003382583229570167,28,0,26,66,12,1,39,37,18,64,0.018026273878336815,0.13751410870483596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14019654584355026,0.0,0.0,0.0,0.0,0.0,0.057001222797444955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01402483192353541,0.0,0.20405145475659583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16155704773688387,0.0,0.07390271126742347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04793157898845729,0.0,0.14579422410293635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061224489795918366,-0.00499714408541719,0.005347164121350057,0.00036982979888678166,73,66,34,37,28,69,59,19,12,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13062699280753393,0.0,0.0,0.0,0.0,0.0,0.0,0.015590240347901631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1949660651200955,0.0,0.0,0.0,0.0,0.0,0.054991618238170094,0.0,0.09607757791004894,0.1533867563205912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05950809265078939,0.0,0.0,0.0,0.0,0.0,0.0,0.04449792122624386,0.0,0.0,0.18294880791525872,0.0,0.0,0.0,0.06740592746336677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08163265306122448,-0.004905946123018587,0.005378768115734523,0.0004133012950356831,37,12,36,78,46,56,67,22,5,28,0.0,0.0,0.0,0.0,0.0,0.0791829012334497,0.0,0.0,0.0,0.0,0.0,0.0,0.020555426184088905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362445050382261,0.0,0.0,0.0,0.0,0.0,0.19521026680843573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19867970288001613,0.17045615546593693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07443561961329385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024412065962736117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09588171272266847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10494164409114817,0.0,0.0,0.0,0.0,0.0,0.0
0.10204081632653061,-0.004896680178185832,0.0055043507480501954,0.0004508208366205611,35,1,37,83,2,12,25,13,23,40,0.0,0.19136971643344158,0.06429240650826158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21787202851705673,0.03399295720301902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03361285102608456,0.0,0.035005985382025505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016993379211934473,0.0,0.17511077237337683,0.0,0.0,0.16157077516585552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017912817894426,0.0
0.12244897959183673,-0.004569063538094373,0.005267232621446959,0.00043448155926582225,61,1,47,28,14,4,37,0,5,46,0.06247517224803757,0.20435034597327711,0.0,0.0,0.11674016980240007,0.011058666227651223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07006986076143025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18738228487327246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040276559835246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09014425392562495,0.03239934781916541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02135224238561638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14285714285714285,-0.004658164980377966,0.005508522420880263,0.00044397966263582094,25,73,45,10,62,28,37,80,67,1,0.0,0.16134020449061046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030074672383065597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03757585096083298,0.0,0.0,0.13561550457075028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21697741109546526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11092943492894392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052247201411064696,0.0,0.0,0.0,0.0,0.0753477197697433,0.0,0.0,0.0,0.0,0.0,0.13003431731968582,0.0,0.0,0.0,0.0,0.0,0.0,0.049857683069837816,0.0,0.0,0.0,0.0
0.16326530612244897,-0.004496363778755373,0.005455044220583843,0.0004168734856155334,7,28,74,11,37,36,12,55,56,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08739206483152481,0.0,0.0,0.0,0.013815101342649499,0.10474380455405946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304838665272958,0.0,0.0,0.0,0.0,0.0,0.0,0.10653259603704927,0.17852606095445495,0.18062082265653098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10381454957461979,0.059383045246442175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03468808827537323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1836734693877551,-0.004505127326255338,0.0056236833575627615,0.00046623281288876766,12,14,44,34,29,36,40,37,79,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32087156809527123,0.0,0.023386073323135043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01362775264552786,0.0,0.0,0.0,0.0,0.0437320158745349,0.0,0.08246826616470858,0.13204543411810094,0.0,0.0,0.03627503050995999,0.0,0.0,0.0,0.057467240025090995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22271488451520965,0.0,0.0,0.0,0.0,0.0,0.06741173472846088,0.0,0.0,0.0,0.0,0.0
0.20408163265306123,-0.00429591928102178,0.005492280536102478,0.0003698896137929375,3,5,37,10,12,29,19,28,76,4,0.0,0.0,0.0,0.09562321969949006,0.05509346961179907,0.11496176836476225,0.0,0.0,0.0,0.0,0.030248982378454088,0.0,0.160934070811386,0.0,0.0,0.0,0.0,0.0,0.0,0.016854335650040284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16268681936618026,0.16033402341439615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16565069982430705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037612610879184855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22448979591836735,-0.004403952177871889,0.005829994455618375,0.0005223756907068787,74,49,14,22,37,68,82,36,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09758373294226798,0.0,0.21037484503307827,0.0,0.029393140605672767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05965233883329424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15478689747606203,0.22664825245265435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02711930598431487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08810881117700126,0.0,0.0,0.0,0.0,0.0,0.03440195568678971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07193071980886458,0.0,0.0
0.24489795918367346,-0.004109891493007867,0.005586439265969673,0.00044279747362436784,37,60,26,1,84,59,12,28,29,49,0.0,0.09548343574685485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015791947024269504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10955778961702493,0.0,0.21344109711409023,0.014603421472574842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23762257963195155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04071023879932779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015653596989335505,0.21904929877410415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03808659483046666
