Lambda,F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0.0,-0.005222037459154293,0.005222037459154293,0.0005158756670639978,29,28,19,17,67,70,74,40,54,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20186895380807668,0.0,0.010505672006684128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1741770950034175,0.044223559036421244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03535894032501701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14937460785731768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168196963004452,0.0,0.030213306442982035,0.0,0.0,0.0991360524500919,0.0,0.0,0.0,0.1383221167695467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02040816326530612,-0.005174660758219967,0.005291982691109864,0.0004567920204951107,13,82,17,58,31,48,70,3,9,36,0.0,0.0,0.0,0.010855360558287654,0.0,0.0,0.0,0.0,0.0,0.21165378315177716,0.0,0.0,0.0,0.022771851966418066,0.0,0.0,0.0,0.2399654019617768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04089524148235198,0.0,0.0,0.0,0.0,0.20091551774669833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08867165118323866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011748162201875145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028379673463656836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441433562839195,0.0,0.0,0.0,0.0,0.0,0.0
0.04081632653061224,-0.0050929557915378,0.005336965571479786,0.0006412740370988646,18,4,17,28,14,2,57,70,65,21,0.0,0.0,0.016259175609954525,0.0,0.12117237767093034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020629954710899446,0.0,0.0,0.23774501881186597,0.22451678023214522,0.0,0.0,0.04663796050024814,0.0,0.0,0.0,0.0,0.0,0.0,0.07061514324010773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302411888112006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016148930634646622,0.0,0.0,0.0,0.0,0.11603346977800154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061224489795918366,-0.0050675444089676005,0.005428260961909948,0.0004634427361484097,52,65,24,28,47,1,17,4,9,75,0.0,0.1468835852744985,0.0,0.0,0.01998947042747443,0.0,0.0,0.0,0.0,0.1654131979036069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08064929944313819,0.0,0.0,0.0,0.0,0.0,0.0,0.028760555064086632,0.0,0.0,0.0,0.17790021808289178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384946004346565,0.0,0.0,0.0,0.0,0.17341779850537972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06126539563855179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10722587922571562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08163265306122448,-0.004743441997712693,0.005218209824836548,0.0005976960574306792,17,52,57,9,31,64,21,86,35,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19016362619122137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19878757849022552,0.0,0.0,0.0,0.03851757138981422,0.0,0.0,0.0,0.0,0.0,0.0,0.20223684066602138,0.0,0.0,0.010365085759415528,0.0,0.0,0.0,0.060331070677535424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07268311175610112,0.0,0.0,0.0,0.0,0.09644752580863558,0.0,0.0,0.0,0.0,0.0,0.0,0.04821035701785456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08225723224317541,0.0,0.0
0.10204081632653061,-0.004839148542920901,0.005461400803953094,0.0006366713541624057,35,2,46,26,54,28,5,17,9,19,0.0,0.0,0.02477674416778147,0.0,0.0,0.09490167014608268,0.0,0.0,0.0,0.17485884783773042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19091835860024142,0.0,0.027482956814522626,0.0,0.0,0.0,0.0,0.0,0.0,0.14841011681615168,0.0,0.1986612264627607,0.0,0.0,0.0,0.0,0.0,0.0,0.018061140823531947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04671735096125069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07521158736994653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12244897959183673,-0.0044926937020050815,0.00518373688241261,0.00045978242424887447,25,60,9,82,47,51,17,8,61,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20335464561496402,0.18278734091535814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2298200935490262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034390611096966325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027582208233820953,0.0,0.0,0.0,0.07775921283771128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04144418238066496,0.028768499544569337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028604935074371708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14548827075254714,0.0,0.0,0.0,0.0,0.0,0.0
0.14285714285714285,-0.004682512980990317,0.0055635144058518915,0.0006034955681791345,47,43,5,50,36,9,70,28,3,17,0.0,0.0,0.0,0.06595282805356109,0.0,0.0183525934153035,0.0,0.0,0.0,0.16891491633345573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16310763103263126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1445841523239224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703726577800703,0.0,0.0,0.0,0.0,0.0,0.0,0.057436605527924824,0.0,0.0,0.0,0.013621044603144745,0.0,0.0,0.1208981037995004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17675946713048574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16326530612244897,-0.004417565464662131,0.0054064169130378925,0.0006502982082636456,18,28,68,8,65,79,46,83,17,1,0.0,0.047958581610674934,0.0,0.0,0.0,0.0,0.0,0.0,0.047407332862774564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22525725986977269,0.08739302533831524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18575983358741618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04199606026388738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12973680771298388,0.0,0.0,0.04107214629428329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031307486327628954,0.0,0.0,0.0,0.16211146613226296,0.0,0.0,0.0,0.0,0.0
0.1836734693877551,-0.00418553899494152,0.005253426693032351,0.0005606285521288449,74,57,72,59,49,17,70,31,56,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2478263169881898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959335170549107,0.0,0.0,0.021513871746529106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011088159575174224,0.0,0.0,0.0,0.0,0.0,0.0,0.03054277610267831,0.03501474297519707,0.0,0.043668672841087254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15860051206867132,0.0,0.15515217589766903,0.0,0.10065925474989329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
