Lambda,F values,Returns,Covariances,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.0,-0.006836747336999247,0.006836747336999247,0.0008726805060244671,66,72,44,74,81,21,41,33,56,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06399127130214527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09164371156358504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22214333385087007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264710672510313,0.0,0.0,0.03733111948595771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04671989053945627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01797758028696819,0.0,0.0,0.0,0.0,0.0,0.06039381268035075,0.0,0.01100681891144298,0.0,0.0,0.0,0.0,0.0,0.0,0.22232139412819238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02040816326530612,-0.006198558952003216,0.006342777877389872,0.0007239494665563007,42,75,33,81,30,80,29,57,13,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11151406528488515,0.0,0.0,0.0,0.0,0.0,0.0,0.02115035400079137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04117433112657147,0.06462120264678818,0.0,0.0,0.17875919062130588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15588370605231033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020673715982777337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20621519638394836,0.0,0.0,0.0,0.0,0.018088937460735543,0.1819193004398864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04081632653061224,-0.006033442532489735,0.006320320179788529,0.0007081821790319193,33,51,95,53,13,41,80,81,94,1,0.0,0.06612154892736019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1148777148816764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11117451056903783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06737728387444997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027802348052394177,0.0,0.0785981586971428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417847976562573,0.23558265717966145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022884384307720815,0.23379659585429918,0.0,0.0
0.061224489795918366,-0.005740360005669756,0.006149715892777988,0.0005364302633231356,19,33,88,1,82,81,7,51,75,56,0.0,0.06471385879992585,0.0,0.0,0.0,0.0,0.0,0.04511789464350868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10170372776064276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11457045057142926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018948580455798343,0.0,0.0,0.0,0.0,0.07033829894963682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038523250059585686,0.0,0.0,0.0,0.0,0.0,0.21873770432417705,0.20781230039718315,0.0,0.0,0.0,0.0,0.0,0.11953393403811238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08163265306122448,-0.0059238770925580725,0.006536626463811329,0.0009695533340410556,24,41,71,10,68,81,33,1,4,8,0.0,0.1747827156739988,0.0,0.0,0.03690123961876673,0.0,0.0,0.0,0.019198207476721976,0.0,0.016120517061544878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041588809598254284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18106469408683543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15837751023801722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16382425486858676,0.0,0.0,0.06699441873802361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14114763263925048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10204081632653061,-0.005522801037225306,0.006227698448318907,0.000680296180398385,35,3,54,75,81,33,91,1,47,69,0.0,0.12381368743721927,0.0,0.07552166733584918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13868696834629696,0.0,0.1060015581460965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06689771915233975,0.0,0.0,0.0,0.0,0.0,0.0,0.13131784158148038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03711979857836217,0.0,0.0,0.0,0.0,0.0,0.04792602215429014,0.0,0.0,0.0,0.0,0.0,0.2552666943951561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01744804287290958,0.0,0.0,0.0,0.0,0.0,0.0
0.12244897959183673,-0.005535747633477284,0.006409506960139477,0.0007261942076017615,66,42,41,33,88,93,80,86,54,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23792426867610844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21595602530912725,0.0704623018064017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907720558224023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07158973198946308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020716043061744405,0.0,0.0,0.0,0.06364230380053547,0.0,0.031000339022264622,0.0,0.1277917575471691,0.0,0.0,0.0,0.0,0.12184002320494575,0.0,0.0,0.0,0.0
0.14285714285714285,-0.005014411740599629,0.005948855596839258,0.0005922513968381446,22,88,85,84,35,76,21,96,81,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04263165950109856,0.0,0.0,0.0,0.0,0.0,0.13289691745663304,0.14206520666050093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11421068048924887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039148889210458816,0.0,0.0,0.0,0.0,0.25028452280383734,0.0,0.0,0.038378179521887996,0.03140321105612768,0.0,0.0,0.17927229053404317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029708442766163655,0.0
0.16326530612244897,-0.004952083152769361,0.006046153940456308,0.000655029634126243,71,38,58,3,57,81,41,44,88,90,0.0,0.0,0.0,0.1085741353581117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16196680106505368,0.0,0.0,0.11530428450969604,0.0,0.0,0.013866998651303827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013832908213864209,0.08797640615003012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08613928635278642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33486045804508047,0.0,0.0,0.0,0.0,0.0,0.0,0.02711593729328137,0.0,0.05036278436079227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1836734693877551,-0.0049809695532264196,0.006266023649787357,0.0007303819870444114,33,70,24,41,30,42,37,81,84,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08831851199284019,0.0,0.10902123434651771,0.0,0.0,0.0,0.0,0.0,0.044035658544446674,0.0,0.0,0.21178863536768364,0.0,0.0,0.0,0.013702854935734162,0.0,0.0,0.0,0.14132137557999028,0.017957999279328573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03771309861281594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188545461352455,0.0,0.0,0.1475951699881878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
